rec_id,category_name,guideline_name,guideline_year,Class,Level,evidence_first_authors,rec_text_verbatim
1,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,C,Consensus,"For patients with chronic venous disease, the use of the Clinical, Etiological, Anatomical, Pathophysiological (CEAP) classification is recommended for clinical audit and research."
2,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,C,Consensus,"For patients with chronic venous disease, grading of clinical severity and evaluation of treatment success using the revised Venous Clinical Severity Score (r-VCSS) and the Villalta scale for post-thrombotic syndrome, should be considered for clinical audit and research."
3,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,B,Blomgren et al.,"For diagnosis and treatment planning in patients with suspected or clinically evident chronic venous disease, full lower limb venous duplex ultrasound is recommended as the primary imaging modality."
4,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,C,Metzger et al.,"For patients with suspected supra-inguinal venous obstruction, in addition to full leg duplex assessment, ultrasound of the abdominal and pelvic veins should be considered, as part of the initial assessment."
5,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,C,Coelho et al.,"When an intervention is contemplated in patients with suspected supra-inguinal venous obstruction, cross sectional imaging by magnetic resonance venography or computed tomography is recommended in addition to duplex ultrasound assessment."
6,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIb,B,"Gagne et al., Lau et al.","For selected patients with suspected supra-inguinal venous obstruction, where cross sectional diagnostic imaging is inadequate or not available, venography and/or intravascular ultrasound may be considered."
7,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIb,C,"Lattimer et al., Lattimer et al., Raju et al., Lattimer et al., Kalodiki et al.","For patients with chronic venous disease, air plethysmography may be considered for quantification of reflux and/or obstruction, in particular when duplex ultrasound results do not reconcile with the clinical findings."
8,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,B,"Kahn et al., Araujo et al., Gurdal Karakelle et al.","For patients with symptomatic chronic venous disease, exercise should be considered to reduce venous symptoms."
9,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,B,"Benigni et al., Kakkos et al.","Unchanged For patients with symptomatic chronic venous disease, elastic compression stockings, exerting a pressure of at least 15 mmHg at the ankle, are recommended to reduce venous symptoms."
10,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,B,"Mosti et al., Mosti et al., Mosti et al.","Unchanged For patients with chronic venous disease and oedema (CEAP clinical class C3), compression treatment, using below knee elastic compression stockings, inelastic bandages or adjustable compression garments, exerting a pressure of 20 – 40 mmHg at the ankle, is recommended to reduce oedema."
11,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,B,Vandongen et al.,"For patients with chronic venous disease and lipodermatosclerosis and/or atrophie blanche (CEAP clinical class C4b), using below knee elastic compression stockings, exerting a pressure of 20 – 40 mmHg at the ankle, is recommended to reduce skin induration."
12,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,B,Azirar et al.,"For patients with post-thrombotic syndrome, below knee elastic compression stockings, exerting a pressure of 20 – 40 mmHg at the ankle, should be considered to reduce severity."
13,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIb,B,Azirar et al.,"For patients with post-thrombotic syndrome, adjuvant intermittent pneumatic compression may be considered to reduce its severity."
14,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,A,"Ciapponi <i>et al.</i>, Kalus <i>et al.</i>, Flota-Cervera <i>et al.</i>, Martinez-Zapata <i>et al.</i>, Rabe <i>et al.</i>, Rabe <i>et al.</i>, Pittler <i>et al.</i>, Aziz <i>et al.</i>, Rabe <i>et al.</i>, Kakkos <i>et al.</i>, Kakkos <i>et al.</i>, Bignamini <i>et al.</i>","Unchanged For patients with symptomatic chronic venous disease, who are not undergoing interventional treatment, are awaiting intervention, or have persisting symptoms and/or oedema after intervention, medical treatment with venoactive drugs should be considered to reduce venous symptoms and oedema, based on the available evidence for each individual drug."
15,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,B,ToE<br>Michaels <i>et al.</i>,"For patients with superficial venous incompetence presenting with symptomatic varicose veins (CEAP clinical class C2s), interventional treatment is recommended."
16,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,C,Consensus,"For patients with superficial venous incompetence, presenting with oedema (CEAP clinical class C3), other non-venous causes of oedema should be considered before planning interventional treatment."
17,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,C,Consensus,"For patients with superficial venous incompetence, presenting with skin changes as a result of chronic venous disease (CEAP clinical class C4 – C6), interventional treatment of venous incompetence is recommended."
18,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,C,Consensus,"For patients with superficial venous incompetence, undergoing treatment using endovenous techniques with or without phlebectomies, the procedures should be performed in the outpatient setting where possible."
19,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,C,Consensus,"For patients with superficial venous incompetence treated by endovenous thermal ablation, ultrasound guided tumescent anaesthesia is recommended."
20,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,B,Nandhra et al.,"For patients with superﬁcial venous incompetence treated under tumescent anaesthesia, buffered solutions should be considered to reduce peri-procedural pain."
21,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIb,C,Consensus,"For patients with superﬁcial venous incompetence undergoing high ligation/stripping, ultrasound guided tumescent anaesthesia may be considered, as an alternative to general or regional anaesthesia."
22,Venous,Chronic Venous Disease of the Lower Limbs,2022,IIa,A,"Hamel-Desnos et al., Gavezzi et al., Bootun et al., Chou et al., Pihlaja et al., Onwudike et al.","For patients with superﬁcial venous incompetence undergoing ultrasound guided foam sclerotherapy or endovenous thermal ablation of a saphenous trunk, post- procedural compression treatment should be considered."
23,Venous,Chronic Venous Disease of the Lower Limbs,2022,I,A,"Huang et al., Bootun et al.","For patients with superficial venous incompetence undergoing stripping and/or extensive phlebectomies, immediate post-procedural compression treatment is recommended."
