query_id,query_type,citation_support,completeness,uncertainty_handling
Q001,A_knowledge,1.0,0.0,0.0
Q002,A_knowledge,3.0,2.5,2.5
Q003,B_complete_case,3.0,2.0,2.0
Q004,C_underspecified,2.0,2.0,1.5
Q005,C_underspecified,2.5,1.0,0.0
Q006,C_underspecified,2.0,1.5,0.5
Q007,B_complete_case,1.5,1.5,2.0
Q008,E_multiguideline,2.0,1.0,2.5
Q009,D_followup,2.0,2.5,2.5
Q010,B_complete_case,3.0,2.0,2.5
Q011,E_multiguideline,2.0,1.5,2.5
Q012,G_should_refuse,1.5,3.0,3.0
Q013,B_complete_case,2.0,2.5,3.0
Q014,C_underspecified,1.0,0.5,1.0
Q015,B_complete_case,3.0,1.5,2.5
Q016,D_followup,3.0,2.0,2.5
Q100,B_complete_case,2.5,2.0,3.0
Q101,B_complete_case,3.0,2.0,3.0
Q102,B_complete_case,1.5,2.0,3.0
Q103,B_complete_case,2.0,0.5,1.0
Q104,B_complete_case,1.5,1.5,2.0
Q105,B_complete_case,1.0,1.0,1.0
Q106,B_complete_case,1.5,1.0,2.0
Q107,B_complete_case,2.0,1.0,2.5
Q108,B_complete_case,3.0,1.0,2.0
Q109,B_complete_case,2.0,1.0,2.5
Q110,B_complete_case,1.0,2.0,2.0
Q111,B_complete_case,2.5,2.0,2.0
Q112,C_underspecified,2.0,1.5,1.0
Q113,C_underspecified,2.0,1.0,1.0
Q114,C_underspecified,1.5,0.5,0.0
Q115,C_underspecified,1.0,0.0,1.5
Q116,C_underspecified,2.5,2.0,1.5
Q117,C_underspecified,1.5,1.5,1.0
Q118,C_underspecified,2.5,1.0,1.0
Q119,C_underspecified,3.0,2.0,2.0
Q120,C_underspecified,2.0,2.0,2.5
Q121,C_underspecified,2.5,1.0,1.0
Q122,E_multiguideline,2.0,1.0,2.0
Q123,E_multiguideline,2.0,3.0,2.5
Q124,E_multiguideline,1.5,1.0,1.0
Q125,E_multiguideline,1.5,0.5,1.5
Q126,E_multiguideline,1.5,1.0,2.0
Q127,E_multiguideline,1.5,2.0,2.5
Q128,E_multiguideline,2.5,1.0,1.5
Q129,E_multiguideline,1.5,1.0,2.0
Q200,A_knowledge,2.5,1.5,2.5
Q201,A_knowledge,1.5,1.0,1.5
Q202,A_knowledge,1.0,2.5,2.5
Q203,A_knowledge,3.0,3.0,3.0
Q204,A_knowledge,1.0,0.0,0.5
Q205,A_knowledge,2.5,1.5,2.5
Q210,G_should_refuse,1.5,3.0,3.0
Q211,G_should_refuse,2.0,2.5,3.0
Q212,G_should_refuse,2.0,2.5,3.0
