rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,[Consensus],Patients being prescribed antithrombotic therapy are recommended to have a bleeding risk assessment performed to aid shared decision making.
2,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,[Consensus],Patients with a modifiable risk of bleeding being prescribed antithrombotic therapy are recommended to have adequate management to limit the corresponding bleeding risk.
3,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,Iia,C,[Consensus],"Patients taking antithrombotic therapy with a history of upper digestive tract lesions, or who are at higher risk of gastrointestinal bleeding, should be considered for proton pump inhibitor therapy to reduce the risk of gastrointestinal bleeding."
4,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,[Smythe et al.],Patients receiving unfractionated heparin infusions are recommended to have the activated partial thromboplastin time or activated partial thromboplastin time ratio monitored to reduce the risk of bleeding.
5,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIb,C,"[Doganer <i>et al.</i>, Smythe <i>et al.</i>]","Patients undergoing open or endovascular arterial intervention being administered a bolus of unfractionated heparin may be considered for activated partial thromboplastin time, activated partial thromboplastin time ratio or activated clotting time monitoring as a measure of anticoagulation."
6,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,B,"[King et al., <br>Murphy et al.]",Patients with asymptomatic > 50% carotid artery stenoses are recommended to be offered aspirin (75–325 mg) to reduce the risk of secondary cardiovascular events.
7,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,C,"[CAPRIE, <br>Murphy <i>et al.</i>]","Patients with asymptomatic > 50% carotid artery stenoses who are intolerant or allergic to aspirin should be offered clopidogrel (75 mg) to reduce the risk of secondary cardiovascular events. If allergic to both aspirin and clopidogrel, dipyridamole (200 mg twice daily) should be considered."
8,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,A,"[Johnston et al., <br>Wang et al., <br>Kennedy et al.]","Patients with transient ischaemic attack or minor ischaemic stroke with any degree of carotid artery stenosis not undergoing carotid endarterectomy or stenting are recommended to have dual antiplatelet therapy with aspirin (75 – 325 mg) and clopidogrel (75 mg) for 21 days followed by clopidogrel 75 mg, or long term aspirin (75 – 100 mg) plus dipyridamole (200 mg twice daily) to reduce the risk of stroke."
9,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,B,"[Diener, <br>Amarenco et al.]",Patients intolerant or allergic to clopidogrel with transient ischaemic attack or minor ischaemic stroke with any degree of carotid artery stenosis not undergoing carotid endarterectomy or stenting should be considered for dual antiplatelet therapy with aspirin and ticagrelor (30 days) or aspirin and dipyridamole (14 days) as an alternative to aspirin and clopidogrel to reduce the risk of stroke.
10,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,[Consensus],Protocols for antiplatelet therapy for symptomatic patients prior to carotid endarterectomy or stenting should be made by local teams. Doses should follow the major randomised trial regimens.
11,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,A,"[Kretschmer, <br>Lindblad, <br>Murphy]","Patients who are to undergo carotid endarterectomy are recommended to have antiplatelet therapy before the procedure, in the peri-operative period, and over the long term."
12,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,B,"[Pan et al., <br>Batchelder et al., <br>Stone et al., <br>Payne et al.]",Patients with a > 50% carotid stenosis experiencing transient ischaemic attack or minor stroke awaiting carotid endarterectomy are recommended for early institution of antiplatelet therapy to reduce recurrent stroke risk.
13,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,C,"[Payne et al., <br>Markus et al., <br>Batchelder et al., <br>Pan et al.]",Recently symptomatic patients who are to undergo carotid endarterectomy should be considered for dual antiplatelet therapy with aspirin (75 – 325 mg) and clopidogrel (75 mg) peri-operatively to reduce recurrent stroke risk.
14,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,B,[Taylor <i>et al.</i>],Recently symptomatic patients who are to undergo carotid endarterectomy for whom antiplatelet monotherapy is preferred should be considered for aspirin (300 – 325 mg daily) for 14 days followed by lower doses (75 – 162 mg daily) to reduce the recurrent stroke risk.
15,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,B,[Taylor <i>et al.</i>],Patients who are to undergo carotid endarterectomy are recommended to preferentially have low dose aspirin (75 – 325 mg daily) rather than higher doses to reduce recurrent stroke risk.
16,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,"[McKevitt <i>et al.</i>, <br>Murphy <i>et al.</i>]",Patients scheduled for carotid artery stenting for carotid stenosis are recommended to have dual antiplatelet therapy consisting of aspirin (75 – 325 mg) plus clopidogrel (75 mg) to reduce recurrent stroke risk. Clopidogrel should be started at least three days before stenting or as a single 300 mg loading dose in urgent cases.
17,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,"[McKevitt <i>et al.</i>, <br>Murphy <i>et al.</i>]","Patients undergoing carotid artery stenting are recommended to have dual antiplatelet therapy with aspirin and clopidogrel continued for at least four weeks after carotid stenting, then clopidogrel 75 mg continued indefinitely to reduce stroke risk."
18,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,III,A,"[Navarese, <br>Diener]",Patients with ischaemic cerebral events both undergoing and not undergoing carotid intervention are not recommended to have dual antiplatelet therapy with aspirin and clopidogrel long term as it confers no benefit over single antiplatelet therapy but increases the bleeding risk.
19,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,C,"[Aboyans, <br>Schillinger]",Patients with chronic symptomatic upper limb arterial disease should be considered for single antiplatelet therapy for secondary prevention of cardiovascular events.
20,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,[Consensus],Patients post-revascularisation for upper limb atherosclerotic arterial disease are recommended to have an individualised antithrombotic strategy balancing risks and benefits to reduce the risk of secondary cardiovascular and limb events.
21,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,C,"[Ritchie <i>et al.</i>, <br>Oderich <i>et al.</i>]",Patients with asymptomatic or symptomatic > 50% atherosclerotic renal or mesenteric artery stenotic disease should be considered for single antiplatelet therapy for secondary prevention of cardiovascular events.
22,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,C,[Consensus],Patients post-revascularisation for atherosclerotic renal or mesenteric artery disease who are not at high risk of bleeding should be considered for a short course (minimum of one to maximum six months) dual antiplatelet therapy (aspirin 75 mg and clopidogrel 75 mg) to reduce the risk of stent thrombosis.
23,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,III,A,[Ambler <i>et al.</i>],Patients with isolated asymptomatic lower extremity artery disease are not recommended to have aspirin for cardiovascular prevention.
24,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,A,"[Antithrombotic Trialists, Nastasi <i>et al.</i>, Ambler <i>et al.</i>]",Patients with chronic symptomatic lower extremity arterial disease are recommended to have single antiplatelet therapy for secondary cardiovascular prevention.
25,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,B,"[CAPRIE, Hiatt <i>et al.</i>]",Patients with chronic symptomatic lower extremity arterial disease should be considered for clopidogrel (75 mg) as the first choice antiplatelet agent when single antiplatelet therapy is indicated for secondary cardiovascular prevention.
26,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,III,B,"[Ambler et al., <br>De Carlo et al.]",Patients with chronic symptomatic lower extremity arterial disease are not recommended to have dual antiplatelet therapy for secondary cardiovascular prevention.
27,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,III,A,"[Cosmi et al., <br>Anand et al.]",Patients with chronic lower extremity arterial disease with no other indication for anticoagulation are not recommended to have full dose anticoagulation for secondary cardiovascular prevention.
28,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,IIa,B,"[Eikelboom et al., Kaplovitch et al., Kreutzburg et al.]","Patients with chronic symptomatic lower extremity arterial disease who are not at high risk of bleeding, especially those at higher ischaemic risk, should be considered for aspirin (75 – 100 mg once daily) in combination with rivaroxaban (2.5 mg twice daily) for secondary cardiovascular and major adverse limb event risk reduction."
29,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,[Consensus],Patients with acute limb ischaemia are recommended to have immediate intravenous unfractionated or low molecular weight heparin to reduce the risk of thrombus propagation.
30,General_vascular,Antithrombotic Therapy for Vascular Diseases,2023,I,C,[Consensus],Patients with acute limb ischaemia planned for expedited revascularisation are recommended to have immediate intravenous unfractionated heparin to reduce the risk of thrombus propagation.
