rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1.1,Peripheral,Global Vascular Guidelines on CLTI Management,2019,1 (Strong),C (Low),"[""Graaff"", ""Brownrigg"", ""Wang""]",Use objective hemodynamic tests to determine the presence and to quantify the severity of ischemia in all patients with suspected CLTI.
1.2,Peripheral,Global Vascular Guidelines on CLTI Management,2019,1 (Strong),C (Low),[],"Use a lower extremity threatened limb classification staging system (eg, SVS’s WIf I classification system) that grades wound extent, degree of ischemia, and severity of infection to guide clinical management in all patients with suspected CLTI."
3.1,Peripheral,Global Vascular Guidelines on CLTI Management,2019,Good practice statement,,[],"Perform a detailed history to determine symptoms, past medical history, and cardiovascular risk factors in all patients with suspected CLTI."
3.2,Peripheral,Global Vascular Guidelines on CLTI Management,2019,Good practice statement,,[],Perform a complete cardiovascular physical examination of all patients with suspected CLTI.
3.3,Peripheral,Global Vascular Guidelines on CLTI Management,2019,Good practice statement,,[],"Perform a complete examination of the foot, including an assessment of neuropathy and a probe-to-bone test of any open ulcers, in all patients with pedal tissue loss and suspected CLTI."
3.4,Peripheral,Global Vascular Guidelines on CLTI Management,2019,1 (Strong),B (Moderate),"[""Lijmer"", ""Dachun""]",Measure AP and ABI as the first-line noninvasive test in all patients with suspected CLTI.
3.5,Peripheral,Global Vascular Guidelines on CLTI Management,2019,1 (Strong),B (Moderate),"[""Aboyans"", ""Salaun""]",Measure TP and TBI in all patients with suspected CLTI and tissue loss (Fig 3.1 in full guideline).
3.6,Peripheral,Global Vascular Guidelines on CLTI Management,2019,2 (Weak),C (Low),"[""Aboyans"", ""Shirasu"", ""Saluan""]","Consider using alternative methods for noninvasive assessment of perfusion, such as PVR, transcutaneous oximetry, or skin perfusion pressure, when ankle and toe pressures, indices, and waveforms cannot be assessed."
3.7,Peripheral,Global Vascular Guidelines on CLTI Management,2019,2 (Weak),B (Moderate),"[""Hingorani""]",Consider DUS imaging as the first arterial imaging modality in patients with suspected CLTI.
3.8,Peripheral,Global Vascular Guidelines on CLTI Management,2019,2 (Weak),B (Moderate),"[""Larch"", ""Adriaensen"", ""Hingorani"", ""Collins"", ""Met""]","Consider noninvasive vascular imaging modalities (DUS, CTA, MRA) when available before invasive catheter angiography in patients with suspected CLTI who are candidates for revascularization."
