rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,I,C,"[""Consensus""]",Centres performing aortic surgery are recommended to enter cases in a validated prospective registry to allow for monitoring of practice and outcomes.
2,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,I,C,"[""Consensus""]",Centres or networks of collaborating centres treating patients with abdominal aortic aneurysms should be able to provide both endovascular and open aortic surgery.
3,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,III,B,"[""Landon"", ""Gray"", ""Kontopodis"", ""Trenner"", ""D'Oria"", ""Swerang"", ""Scali"", ""Zettervall""]","Centres performing abdominal aortic aneurysm repair should not have a yearly total caseload of < 30, and not less than 15 each by open and endovascular methods."
4,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,III,C,"[""Consensus""]",Centres treating complex abdominal aortic aneurysms should not have a yearly combined caseload of open and fenestrated/branched endovascular aortic repair of < 20.
5,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,I,B,"[""Maguire"", ""Robinson"", ""Lawazet"", ""Desender"", ""Saratzis""]",Simulation based vascular surgery training curriculum should include open surgical repair and endovascular repair of AAA.
6,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,I,C,"[""Parkinson"", ""D'Oria"", ""Lancaster"", ""Lindholt"", ""Hinterscheer"", ""Scott""]",Patients with an asymptomatic abdominal aortic aneurysm who have reached the size threshold at which repair is considered should receive a fast track pathway\* to vascular surgical care.
7,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,I,B,"[""Concannon"", ""Rubano"", ""Long""]",Ultrasonography is recommended for the first line diagnosis and surveillance of small abdominal aortic aneurysms.
8,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,IIa,B,"[""Bissacco"", ""Long"", ""Grondal""]",The anteroposterior plane with consistent calliper placement should be considered the preferred method for ultrasound abdominal aortic diameter measurement.
9,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,I,C,"[""al""]","Computed tomography angiography is recommended for treatment planning, once the aortoesophageal diameter threshold for elective abdominal aortic aneurysm repair has been reached, in order to assess the risk of rupture."
10,Aortic iliac,ESVS 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms,2024,I,C,"[""Mora""]",Aortic diameter measurement with computed tomography angiography is recommended using dedicated post-processing software analysis; with consistent calliper placement in an orthogonal plane perpendicular to the aorta.
