rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Venous,Management of Venous Thrombosis,2021,I,C,"[Geersing et al., Kelly & Hunt]","When deep vein thrombosis is suspected, a clinical assessment of the pre-test probability is recommended as part of the diagnostic process."
2,Venous,Management of Venous Thrombosis,2021,I,C,[Ageno et al.],All healthcare professionals involved in the diagnosis of deep vein thrombosis should use a validated diagnostic pathway.
3,Venous,Management of Venous Thrombosis,2021,I,C,[Consensus],"For patients with suspected deep vein thrombosis requiring imaging, ultrasound is recommended as the first modality."
4,Venous,Management of Venous Thrombosis,2021,Ia,C,[Cogo et al.],"For patients with suspected deep vein thrombosis with a likely pre-test probability and negative compression ultrasound scanning, repeat ultrasound assessment should be considered after 5–7 days."
5,Venous,Management of Venous Thrombosis,2021,Ia,C,"[Sampson et al., Karande et al., Dronkers, et al.]","For patients with suspected proximal deep vein thrombosis where ultrasound assessment is inconclusive or not feasible, computed tomography venography, magnetic resonance venography, or venography should be considered."
6,Venous,Management of Venous Thrombosis,2021,I,C,[Schellong et al.],"When performing ultrasound imaging in patients with suspected calf deep vein thrombosis, whole leg ultrasound is recommended."
7,Venous,Management of Venous Thrombosis,2021,III,C,[Garcia-Fuster et al.],"For patients with deep vein thrombosis, routine investigation for occult pulmonary embolism in the absence of symptoms or signs is not recommended."
8,Venous,Management of Venous Thrombosis,2021,I,A,"[Zhou et al., Klein et al., Kleinjan et al.]","For patients with unprovoked deep vein thrombosis, clinical examination and sex specific cancer screening, as opposed to routine extensive screening, for occult malignancy is recommended."
9,Venous,Management of Venous Thrombosis,2021,III,C,Stevens et al.,"For patients with provoked deep vein thrombosis, thrombophilia testing is not recommended."
10,Venous,Management of Venous Thrombosis,2021,III,C,"Stevens et al., Connors, Garcia-Horton","For patients with unprovoked deep vein thrombosis, routine testing for inherited thrombophilias is not recommended."
11,Venous,Management of Venous Thrombosis,2021,IIa,C,Moll,"For patients with unprovoked deep vein thrombosis and a family history of venous thromboembolism in a ﬁrst degree relative, testing for hereditary thrombophilia should be considered."
12,Venous,Management of Venous Thrombosis,2021,IIa,C,Moll,"For patients with unprovoked deep vein thrombosis, testing for antiphospholipid antibodies should be considered if a decision to stop anticoagulation is contemplated."
